# wavelength[um] flux[erg/cm2/s/cm]
5.796324221086497808e+00 3.451037254616492987e+07
5.802123444435760113e+00 2.193035478799460083e+07
5.807928469908951286e+00 2.694377365353052318e+07
5.813739303311101558e+00 2.199656039370724559e+07
5.819555950453048077e+00 8.315559892660513520e+06
5.825378417151428678e+00 1.250463127730598301e+07
5.831206709228702323e+00 1.152293315048563667e+07
5.837040832513173072e+00 1.948315730201034993e+07
5.842880792838964332e+00 2.710773439192565531e+07
5.848726596046033066e+00 2.079567111657291278e+07
5.854578247980187555e+00 2.320505728102684766e+07
5.860435754493076743e+00 1.090131630205120519e+07
5.866299121442202669e+00 1.344993662395819649e+07
5.872168354690941783e+00 1.901605029859751463e+07
5.878043460108523632e+00 9.194973112686827779e+06
5.883924443570054841e+00 7.855320309265062213e+06
5.889811310956534207e+00 1.471490865404341370e+07
5.895704068154810074e+00 7.861065870893918909e+06
5.901602721057636280e+00 1.732699517719849944e+07
5.907507275563671278e+00 2.451854558441960439e+07
5.913417737577481681e+00 2.347805604233915359e+07
5.919334113009534271e+00 1.902974718391632661e+07
5.925256407776182677e+00 1.832020083354562894e+07
5.931184627799722442e+00 1.519454799671032466e+07
5.937118779008376812e+00 6.562138793980633840e+06
5.943058867336306506e+00 1.357305895208322257e+07
5.949004898723619483e+00 1.903519896478895470e+07
5.954956879116324764e+00 1.835040510881078616e+07
5.960914814466400813e+00 2.568802450913381204e+07
5.966878710731783109e+00 1.295185522556222975e+07
5.972848573876380129e+00 1.791379319090214744e+07
5.978824409870049372e+00 2.096589958480584621e+07
5.984806224688616894e+00 1.462439468852061965e+07
5.990794024313907506e+00 9.919736123550355434e+06
5.996787814733729682e+00 2.053928006911567599e+07
6.002787601941870221e+00 2.658389153215651959e+07
6.008793391938101358e+00 2.483186511954016611e+07
6.014805190728216289e+00 1.244844735337670892e+07
6.020823004324017624e+00 2.526863440942543745e+07
6.026846838743329826e+00 3.173242415212974697e+07
6.032876700009986770e+00 2.601319530471406505e+07
6.038912594153839741e+00 1.909825103731820732e+07
