# wavelength[um] flux[W/sr/m2/um]
4.532274731383646227e+00 2.739157398307096730e-02
4.536809273007785137e+00 3.960910433218081672e-02
4.541348351441579112e+00 3.355315540350414100e-02
4.545891971224099493e+00 1.424555388359213803e-02
4.550440136898975751e+00 2.052209876815974318e-02
4.554992853014370624e+00 1.962495487001768291e-02
4.559550124122995207e+00 8.452102965441984569e-03
4.564111954782122282e+00 1.295621718423737787e-02
4.568678349553586315e+00 1.188718013641072886e-02
4.573249313003776351e+00 5.904046270235161972e-03
4.577824849703659993e+00 9.636003921842243788e-03
4.582404964228774524e+00 8.040051448852449448e-03
4.586989661159233123e+00 5.293027816061954618e-03
4.591578945079738183e+00 8.232777786282200957e-03
4.596172820579575991e+00 5.572950468444875030e-03
4.600771292252614941e+00 6.157540562941105598e-03
4.605374364697328637e+00 7.013514873301925773e-03
4.609982042516789669e+00 4.586774577742443355e-03
4.614594330318677606e+00 6.993857462735659711e-03
4.619211232715274562e+00 5.844859545973172914e-03
4.623832754323488281e+00 5.944379071429860793e-03
4.628458899764849477e+00 7.538822639011723455e-03
4.633089673665492292e+00 4.869906079577462042e-03
4.637725080656193377e+00 9.034428230566826645e-03
4.642365125372356793e+00 6.348906241935549366e-03
4.647009812454028221e+00 9.781433525196798345e-03
4.651659146545906509e+00 1.244769320422678058e-02
4.656313132297318802e+00 1.052176369585729361e-02
4.660971774362248077e+00 4.026863644209079107e-02
4.665635077399347352e+00 8.642606164080374187e-02
4.670303046071911268e+00 4.825026034752605969e-02
4.674975685047906282e+00 1.023352421580615672e-02
4.679652998999974223e+00 1.740385710448784373e-02
4.684334992605429626e+00 1.001799880430278081e-02
4.689021670546271281e+00 1.091689406306283958e-02
4.693713037509176011e+00 1.028433848686796659e-02
4.698409098185504895e+00 8.046398531831325251e-03
4.703109857271324579e+00 1.152810455572578045e-02
4.707815319467393955e+00 6.779947867015186785e-03
4.712525489479173046e+00 1.274000828076943086e-02
4.717240372016835437e+00 6.344325316992336511e-03
4.721959971795260280e+00 1.424629333336818737e-02
4.726684293534048287e+00 6.426937098773306128e-03
4.731413341957528829e+00 1.608956599712387664e-02
4.736147121794751946e+00 6.949387861034580886e-03
4.740885637779490125e+00 1.872336523719535933e-02
4.745628894650255170e+00 7.856276293238340439e-03
4.750376897150309752e+00 2.252563836565527056e-02
4.755129650027656751e+00 9.128544532875558504e-03
4.759887158035051691e+00 2.835572383662316245e-02
4.764649425930005400e+00 1.084057209219509849e-02
4.769416458474777798e+00 3.708287635785650210e-02
4.774188260436393882e+00 1.269668920344865434e-02
4.778964836586673037e+00 4.706251708790296778e-02
4.783746191702191730e+00 1.541629791317680048e-02
4.788532330564299500e+00 6.758160170545890466e-02
4.793323257959137607e+00 1.901705350053213561e-02
4.798118978677631041e+00 9.105358721666337307e-02
4.802919497515497405e+00 2.563778336192655549e-02
4.807724819273262007e+00 1.121099291332245118e-01
4.812534948756252540e+00 2.673601658050514529e-02
4.817349890774592858e+00 1.459604428661135656e-01
4.822169650143221631e+00 6.141757680300901495e-02
4.826994231681898562e+00 1.734391422811765726e-01
4.831823640215216820e+00 1.051511713654146446e-01
4.836657880572579948e+00 1.927735774682937941e-01
4.841496957588230288e+00 1.611391148832361508e-01
