# wavelength[um] flux[erg/cm2/s/cm]
5.361393709233554183e+00 2.106547084350490198e+07
5.366757784533227493e+00 3.341459402371361479e+07
5.372127226591127069e+00 3.030669705367382243e+07
5.377502040776687586e+00 3.167921086331370845e+07
5.382882232464750061e+00 2.994701808818734437e+07
5.388267807035500567e+00 3.661065758268810064e+07
5.393658769874506653e+00 3.795289655742853135e+07
5.399055126372735103e+00 2.873328477485822514e+07
5.404456881926535949e+00 3.290262580940457433e+07
5.409864041937665569e+00 1.400524622136738524e+07
5.415276611813294672e+00 1.106061733294761181e+07
5.420694596965989653e+00 1.894002348979672650e+06
5.426118002813722363e+00 5.855034837790771388e+06
5.431546834779906519e+00 2.055279366037826240e+07
5.436981098293380832e+00 2.633138920420576632e+07
5.442420798788408121e+00 1.184818535928617418e+07
5.447865941704685966e+00 2.267954661122849584e+07
5.453316532487360035e+00 2.421593690900673717e+07
5.458772576587027636e+00 1.476204156053750217e+07
5.464234079459717286e+00 1.677933106331790565e+06
5.469701046566937563e+00 7.796182877943183295e+06
5.475173483375657568e+00 1.093295024651406892e+07
5.480651395358322020e+00 6.581606459267160855e+06
5.486134787992848594e+00 2.017706981500649452e+07
5.491623666762627032e+00 3.241884578605483845e+07
5.497118037156523584e+00 3.786051505155155063e+07
5.502617904668907656e+00 2.789419405173277855e+07
5.508123274799649138e+00 3.690358297628660500e+07
5.513634153054125520e+00 3.129947412203724310e+07
5.519150544943213887e+00 1.023815452841189690e+07
5.524672455983298036e+00 7.822918307829695754e+06
5.530199891696303105e+00 1.641090503505489416e+07
5.535732857609660051e+00 2.792129642974646389e+07
5.541271359256338513e+00 1.896000433905772492e+07
5.546815402174844145e+00 1.398813585555202886e+07
5.552364991909218617e+00 9.135715174155382439e+06
5.557920134009044943e+00 4.040527832379048690e+06
5.563480834029461697e+00 1.388724809852677770e+07
5.569047097531185209e+00 5.432979439433220774e+06
5.574618930080467827e+00 5.450386112785747275e+06
5.580196337249130778e+00 2.130702287688792218e+06
5.585779324614604135e+00 7.626261492226098664e+06
