####################################################################
#  Spectra with a Res=100  for a Jupiter-like planet with T=500K   #
#  Yamila Miguel - May 2017                                        #
#  Spectra generated with SAO98 code - Linelists from HITRAN 2012  #
#  Wavelength(microns)          Flux (W/m2/m)                      #
####################################################################
   19.319939087325565        27936176.248295330     
   19.316205841508843        27973299.306485146     
   19.312476314803661        28014091.859812383     
   19.308745952256249        28058796.654455405     
   19.305019305019304        28106146.955213357     
   19.301294096013489        28155033.816090845     
   19.297568051672510        28203577.095442113     
   19.293845717881258        28251365.401745867     
   19.290122548472432        28300483.199963465     
   19.286403085824492        28352592.358452696     
   19.282685057250951        28406044.295173943     
   19.278966193568198        28461452.264486715     
   19.275251031902108        28519472.382256541     
   19.271535034846462        28580359.696209591     
   19.267822736030830        28643980.317515634     
   19.264111867148856        28710077.210742384     
   19.260400163386969        28778091.384137273     
   19.256692153137319        28847710.163846102     
   19.252983307729451        28920629.493769642     
   19.249278152069298        28996252.592051432     
   19.245574422217999        29076246.975296430     
   19.241869857719397        29161424.112731397     
   19.238168978257104        29251164.195467632     
   19.234467263871231        29344443.038655598     
   19.230769230769230        29490534.065153278     
   19.227072619367128        29592454.206563704     
   19.223375173553613        29699023.271436177     
   19.219681404328867        29810147.751153134     
   19.215986800418452        29924748.501352064     
   19.212295869356389        30041484.335180841     
   19.208606355901040        30159601.706529945     
   19.204916008273432        30279795.552970778     
   19.201229328815302        30400486.012702763     
   19.197541814912658        30522827.674751427     
   19.193857965451055        30647919.582016546     
   19.190175529518683        30774383.141412191     
   19.186492259656429        30901962.728216693     
   19.182812649572494        31029000.237885326     
   19.179132205288422        31154852.313023385     
   19.175455417066157        31278816.384733561     
   19.171780038311255        31401818.862866137     
   19.168103825872059        31523088.811630402     
   19.164431264848034        31641543.495924737     
   19.160757869871432        31756944.094364095     
   19.157088122605366        31868315.338629611     
   19.153419780760348        31976298.418171477     
   19.149750605479788        32081646.110071301     
   19.146085073279146        32185259.042859334     
   19.142418707376645        32286960.382339381     
   19.138755980861244        32387099.189449295     
   19.135094655736051        32486599.282667231     
   19.131432497427223        32586494.628889635     
   19.127773973890818        32688722.563042659     
   19.124114616906411        32791677.744105265     
   19.120458891013385        32893989.214329205     
   19.116804562495126        32995543.741407443     
   19.113149401048254        33097113.504527684     
   19.109497866093957        33198501.011922564     
   19.105845497948625        33301040.140489962     
   19.102196752626551        33402989.522663899     
   19.098549400679129        33503503.136482533     
   19.094901216061213        33602418.372738674     
   19.091256649683547        33699918.577579930     
   19.087611250374898        33793853.742480285     
   19.083969465648856        33885764.316019952     
   19.080329070312597        33978659.966675594     
   19.076687842567040        34070834.471573919     
   19.073050224836816        34160486.907888591     
   19.069411774438709        34246252.653919116     
   19.065776930409914        34328361.118749484     
   19.062143471801225        34407660.744299680     
   19.058509181047462        34484888.283318274     
   19.054878492111406        34560226.949005991     
   19.051246970773597        34634522.126859501     
   19.047619047619047        34709689.801128589     
   19.043992505930028        34784974.315714248     
   19.040365132363181        34859239.363104284     
   19.036741352443578        34933812.739222355     
   19.033116740391360        35008885.705262080     
   19.029495718363464        35084628.992170475     
   19.025876073861557        35160946.924506128     
   19.022255597752064        35238233.236531131     
   19.018638707146401        35316504.623519674     
