# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2018, 2022)
# Atmospheric transmittance spectrum synthesized with PUMAS
# Synthesized on Tue Dec 17 16:35:27 2024
# Radiative transfer took 2.968 seconds
# Spectral unit: Wavelength [um]
# ------------------------------------------------------------------------
# Wave/freq Total N2 O2 CO2 H2O O3 NO NO2 N2O HNO3 Water WaterIce Rayleigh CIA
9.689800000e+00 2.77532e-01 9.99999e-01 9.99999e-01 9.86325e-01 9.99209e-01 2.98093e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.33233e-01 9.99997e-01 9.99905e-01
9.755200000e+00 2.82711e-01 9.99999e-01 9.99999e-01 9.95728e-01 9.99844e-01 3.03508e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.32383e-01 9.99997e-01 9.99901e-01
9.820600000e+00 3.82561e-01 9.99999e-01 9.99999e-01 9.98476e-01 9.99543e-01 4.10751e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.31771e-01 9.99997e-01 9.99897e-01
9.886000000e+00 5.34217e-01 9.99999e-01 9.99999e-01 9.99150e-01 9.99067e-01 5.73628e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.31817e-01 9.99997e-01 9.99893e-01
9.951400000e+00 6.90292e-01 9.99999e-01 9.99999e-01 9.99455e-01 9.99766e-01 7.41102e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.31863e-01 9.99997e-01 9.99888e-01
1.001680000e+01 8.01515e-01 9.99999e-01 9.99999e-01 9.99448e-01 9.99783e-01 8.60171e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.32352e-01 9.99997e-01 9.99882e-01
1.008220000e+01 8.78228e-01 9.99999e-01 9.99999e-01 9.97417e-01 9.99986e-01 9.42388e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.34053e-01 9.99997e-01 9.99877e-01
1.014760000e+01 9.00741e-01 9.99999e-01 9.99999e-01 9.84630e-01 9.99925e-01 9.76748e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.35757e-01 9.99997e-01 9.99871e-01
1.021300000e+01 8.99147e-01 9.99999e-01 9.99999e-01 9.63783e-01 9.99599e-01 9.94733e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.37601e-01 9.99997e-01 9.99865e-01
1.027840000e+01 8.91067e-01 9.99999e-01 9.99999e-01 9.49428e-01 9.99428e-01 9.98826e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.39967e-01 9.99997e-01 9.99859e-01
